origin_id,origin_name,mode,num_trips,num_routes,min_headway_secs,max_headway_secs,mean_headway_secs,median_headway_secs,mode_headway_secs,min_travel_time_secs,max_travel_time_secs,mean_travel_time_secs,median_travel_time_secs,mode_travel_time_secs
229310,Newcastle Interchange Station,sydney_trains,27,1,539,3660,1963,2550,600,9238,11069,10094,10421,9239
204210,Newtown Station,sydney_trains,167,3,180,672,344,360,486,324,420,359,378,378
225060,Niagara Park Station,sydney_trains,17,1,1380,7200,3525,3600,3600,5400,6270,5815,5766,5670
207620,Normanhurst Station,sydney_trains,64,1,780,1128,903,900,900,2580,3132,2924,2952,2952
213710,North Strathfield Station,sydney_trains,64,1,900,960,900,900,900,1080,1320,1138,1140,1140
206010,North Sydney Station,sydney_trains,190,4,179,540,302,301,360,750,780,779,780,780
250010,North Wollongong Station,sydney_trains,19,2,1800,3666,3053,3597,3600,4908,6042,5117,5028,5016
252920,Oak Flats Station,sydney_trains,15,1,1200,10866,3780,3597,3588,6564,7248,6773,6678,6654
222320,Oatley Station,sydney_trains,64,3,240,2220,907,900,840,1380,2052,1602,1566,1812
212710,Olympic Park Station,sydney_trains,60,1,240,720,422,420,300,1175,1835,1511,1499,1499
28001,Orange Station,sydney_trains,1,1,,,,,,17640,17640,17640,17640,17640
250830,Otford Station,sydney_trains,3,2,1650,29730,15690,15690,1650,3600,3870,3760,3810,3600
225810,Ourimbah Station,sydney_trains,18,2,222,7200,3330,3600,3600,5718,6588,6139,6111,5988
221110,Padstow Station,sydney_trains,69,1,222,1080,829,900,900,1902,2160,2134,2160,2160
221310,Panania Station,sydney_trains,64,2,660,1140,896,900,900,1746,2442,1841,1770,1770
215020,Parramatta Station,sydney_trains,181,5,1,1020,317,197,31,1488,2759,1770,1560,1560
214530,Pendle Hill Station,sydney_trains,46,2,360,2040,1232,900,900,2010,2310,2103,2130,2130
212020,Pennant Hills Station,sydney_trains,64,1,780,1110,903,900,900,2274,2844,2628,2664,2664
275010,Penrith Station,sydney_trains,96,2,150,1019,601,571,959,3030,4259,3603,3720,3779
222210,Penshurst Station,sydney_trains,72,3,192,1752,793,828,972,1260,1932,1519,1572,1320
204910,Petersham Station,sydney_trains,83,3,192,1080,693,900,900,642,690,652,642,642
257110,Picton Station,sydney_trains,1,1,,,,,,3852,3852,3852,3852,3852
225030,Point Clare Station,sydney_trains,18,2,1734,3660,3130,3600,3600,4974,5604,5188,5136,5094
250530,Port Kembla North Station,sydney_trains,1,1,,,,,,6756,6756,6756,6756,6756
250540,Port Kembla Station,sydney_trains,1,1,,,,,,6959,6959,6959,6959,6959
207310,Pymble Station,sydney_trains,96,1,180,936,600,660,900,2268,2448,2335,2328,2328
276310,Quakers Hill Station,sydney_trains,42,1,360,1800,1216,900,900,2922,3282,3028,3042,3042
26201,Queanbeyan Station,sydney_trains,3,1,17880,18120,18000,18000,17880,14322,14340,14334,14340,14340
23431,Quirindi Station,sydney_trains,1,1,,,,,,18552,18552,18552,18552,18552
201510,Redfern Station,sydney_trains,617,15,0,282,93,78,48,102,300,118,114,108
214310,Regents Park Station,sydney_trains,35,1,900,2220,1657,1800,1800,1950,2364,2054,1980,1980
221210,Revesby Station,sydney_trains,128,2,89,912,452,425,365,1530,2399,1970,1965,2339
213820,Rhodes Station,sydney_trains,72,1,384,900,799,900,900,1206,1602,1401,1422,1422
275320,Richmond Station,sydney_trains,27,1,1800,1800,1800,1800,1800,4739,5099,4869,4859,4859
276510,Riverstone Station,sydney_trains,28,1,1800,1800,1800,1800,1800,3360,3720,3485,3480,3480
221010,Riverwood Station,sydney_trains,69,1,222,1080,829,900,900,1746,2004,1978,2004,2004
221620,Rockdale Station,sydney_trains,94,2,360,960,612,600,600,906,1200,1078,1152,1152
276610,Rooty Hill Station,sydney_trains,71,1,420,1020,810,900,900,2610,3240,2779,2760,2760
206910,Roseville Station,sydney_trains,151,2,180,900,376,360,360,1740,1884,1770,1764,1764
2790128,Rydal Station,sydney_trains,2,2,34308,34308,34308,34308,34308,10320,10428,10374,10374,10320
24521,Sawtell Station,sydney_trains,1,1,,,,,,32040,32040,32040,32040,32040
251510,Scarborough Station,sydney_trains,3,2,1638,29730,15684,15684,1638,4440,4698,4596,4650,4440
276220,Schofields Station,sydney_trains,41,1,359,1800,1223,901,1800,3119,3480,3229,3240,3240
233710,Scone Station,sydney_trains,1,1,,,,,,15132,15132,15132,15132,15132
216210,Sefton Station,sydney_trains,35,1,900,2220,1657,1800,1800,2118,2514,2219,2148,2148
214710,Seven Hills Station,sydney_trains,115,2,0,1008,502,510,900,1980,2610,2237,2130,2130
V17191,Seymour Station,sydney_trains,1,1,,,,,,35916,35916,35916,35916,35916
2529218,Shellharbour Junction Station,sydney_trains,15,1,1200,10860,3780,3600,3600,6792,7470,6997,6906,6858
233010,Singleton Station,sydney_trains,1,1,,,,,,11772,11772,11772,11772,11772
V22180,Southern Cross Station,sydney_trains,1,1,,,,,,40716,40716,40716,40716,40716
277720,Springwood Station,sydney_trains,25,1,389,3714,2355,1811,3600,4734,5340,4956,4932,4896
200050,St James Station,sydney_trains,397,8,12,432,145,132,180,252,870,492,690,252
206520,St Leonards Station,sydney_trains,166,3,180,900,346,360,360,1224,1314,1254,1254,1254
276010,St Marys Station,sydney_trains,71,1,432,1020,818,900,900,3018,3660,3205,3180,3180
204410,St Peters Station,sydney_trains,70,2,360,1110,823,900,900,390,660,498,510,510
204810,Stanmore Station,sydney_trains,83,3,204,1080,693,900,900,528,576,537,528,528
250840,Stanwell Park Station,sydney_trains,3,2,1650,29730,15690,15690,1650,3870,4140,4030,4080,3870
213510,Strathfield Station,sydney_trains,373,9,0,444,154,138,198,744,1470,1025,870,780
28201,Stuart Town Station,sydney_trains,1,1,,,,,,20220,20220,20220,20220,20220
213010,Summer Hill Station,sydney_trains,79,3,180,1080,717,900,900,840,900,861,858,858
223210,Sutherland Station,sydney_trains,123,4,150,1368,464,360,180,1740,2592,2074,2046,2340
204420,Sydenham Station,sydney_trains,179,5,6,642,320,291,193,444,809,539,462,444
257310,Tahmoor Station,sydney_trains,1,1,,,,,,4380,4380,4380,4380,4380
258011,Tarago Station,sydney_trains,3,1,17880,18120,18000,18000,17880,11142,11160,11154,11160,11160
27871,Tarana Station,sydney_trains,2,2,34200,34200,34200,34200,34200,11400,11400,11400,11400,11400
24301,Taree Station,sydney_trains,2,1,17340,17340,17340,17340,17340,19560,20598,20079,20079,19560
225020,Tascott Station,sydney_trains,18,2,1728,3660,3130,3600,3600,4848,5478,5061,5007,4968
204430,Tempe Station,sydney_trains,62,2,558,1800,914,600,600,642,702,651,642,642
228420,Teralba Station,sydney_trains,16,1,1320,7200,3572,3600,3600,8610,9660,9160,9150,9060
26551,The Rock Station,sydney_trains,1,1,,,,,,25116,25116,25116,25116,25116
251550,Thirroul Station,sydney_trains,22,2,211,3666,2685,3570,3600,4350,5339,4607,4485,4458
212010,Thornleigh Station,sydney_trains,63,1,780,1128,903,900,900,2394,2946,2737,2766,2766
214610,Toongabbie Station,sydney_trains,47,2,360,2040,1244,915,1800,2154,2454,2250,2274,2274
200070,Town Hall Station,sydney_trains,720,15,0,342,80,60,48,120,942,323,180,180
251830,Towradgi Station,sydney_trains,1,1,,,,,,5772,5772,5772,5772,5772
225910,Tuggerah Station,sydney_trains,33,1,270,3660,1762,1515,1230,5730,6930,6218,6312,5790
207410,Turramurra Station,sydney_trains,95,1,180,936,604,660,900,2430,2610,2497,2490,2490
220530,Turrella Station,sydney_trains,63,1,840,1080,904,900,900,1086,1104,1087,1086,1086
252610,Unanderra Station,sydney_trains,15,1,1200,10656,3780,3600,3606,5496,6222,5772,5730,5820
24551,Urunga Station,sydney_trains,1,1,,,,,,31020,31020,31020,31020,31020
277710,Valley Heights Station,sydney_trains,23,1,390,3738,2536,1812,3600,4698,5130,4773,4734,4698
216320,Villawood Station,sydney_trains,35,1,900,2220,1655,1800,1800,2520,2940,2616,2550,2550
276520,Vineyard Station,sydney_trains,28,1,1800,1800,1800,1800,1800,3780,4140,3905,3900,3900
26501,Wagga Wagga Station,sydney_trains,1,1,,,,,,23856,23856,23856,23856,23856
207610,Wahroonga Station,sydney_trains,94,1,180,936,604,660,900,2694,2850,2741,2730,2730
